date,total_trades,total_volume_tokens,total_volume_usd,net_pnl,avg_pnl,pct_profitable,buy_count,sell_count,buy_sell_ratio
2023-05-01,3,0.25129999999999997,477.0,0.0,0.0,0.0,3,0,3000000000.0
2023-12-05,9,11.80901,50005.83,0.0,0.0,0.0,7,2,3.49999999825
2023-12-14,11,4092.28901,113203.35,-205.43473700000007,-18.675885181818188,0.36363636363636365,5,6,0.8333333331944445
2023-12-15,2,3558.0,10609.95,-24.632033999999997,-12.316016999999999,0.0,2,0,1999999999.9999998
2023-12-16,3,39897.0,15348.77,0.0,0.0,0.0,3,0,3000000000.0
2023-12-17,14,86246.4486,116278.02,304.982785,21.78448464285714,0.5,3,11,0.2727272727024793
2023-12-18,2,14.306,31164.179999999997,0.0,0.0,0.0,2,0,1999999999.9999998
2023-12-19,15,161546.30599999998,91602.41,1000.5386120000001,66.70257413333334,0.6666666666666666,5,10,0.49999999995
2023-12-20,18,174520.2,141636.79,162.732282,9.040682333333333,0.4444444444444444,10,8,1.24999999984375
2023-12-21,49,1364.3,125233.97,537.211402,10.963498000000001,0.5306122448979592,22,27,0.8148148147846365
2023-12-22,10,2450.7491,88874.28,141.832675,14.1832675,0.2,8,2,3.999999998
2023-12-23,13,141665.4,78438.25,146.936704,11.302823384615383,0.6153846153846154,5,8,0.624999999921875
2023-12-24,39,284682.19608,402954.94,1008.619956,25.862050153846155,0.38461538461538464,21,18,1.166666666601852
2023-12-25,3,26.3812,59948.51,-245.081348,-81.69378266666666,0.0,2,1,1.9999999979999998
2023-12-27,28,455540.0,171411.06,-704.8892269999999,-25.174615249999995,0.14285714285714285,15,13,1.1538461537573965
2023-12-28,23,263752.0,100117.25,-970.730876,-42.20569026086957,0.0,10,13,0.7692307691715976
2023-12-29,50,15843.60258,569559.72,508.92214299999995,10.178442859999999,0.3,31,19,1.6315789472825484
2023-12-30,52,158399.89232,702550.21,354.998648,6.826897076923077,0.4423076923076923,20,32,0.6249999999804688
2024-01-01,18,4178.78664,264239.52999999997,-129.53146,-7.196192222222223,0.05555555555555555,10,8,1.24999999984375
2024-01-02,17,208218.35486,121348.74,783.979116,46.11641858823529,0.47058823529411764,9,8,1.124999999859375
2024-01-03,67,64502.1274,394499.36,866.015507,12.925604582089552,0.417910447761194,32,35,0.9142857142595919
2024-01-04,5,45.0958,99792.54000000001,-67.60364,-13.520728,0.0,2,3,0.6666666664444444
2024-01-05,66,251.80766,1703942.66,164.141565,2.486993409090909,0.19696969696969696,31,35,0.8857142856889797
2024-01-06,22,7077.42664,298521.4,135.58166400000002,6.16280290909091,0.45454545454545453,11,11,0.9999999999090909
2024-01-07,97,165182.52107,1048850.06,-835.681235,-8.615270463917525,0.09278350515463918,52,45,1.1555555555298767
2024-01-08,128,108119.81523000001,1522452.43,-269.874439,-2.1083940546875,0.25,40,88,0.4545454545402892
2024-01-09,70,129356.31168,870051.97,-826.349863,-11.804998042857143,0.2571428571428571,28,42,0.6666666666507937
2024-01-10,193,200302.43156,2057479.48,-1517.091342,-7.860576901554404,0.21243523316062177,92,101,0.9108910890998921
2024-01-11,21,846.43972,305314.1,-164.08950099999998,-7.813785761904761,0.23809523809523808,13,8,1.624999999796875
2024-01-12,7,1542.27934,200082.27,-1925.519024,-275.0741462857143,0.0,5,2,2.49999999875
2024-01-15,14,1.43192,50636.1,152.85358,10.918112857142857,0.6428571428571429,5,9,0.5555555554938272
2024-01-16,9,2608.18062,116427.33,-2299.171458,-255.4634953333333,0.3333333333333333,4,5,0.79999999984
2024-01-17,53,4055.02266,800831.03,813.2741110000001,15.344794547169812,0.20754716981132076,31,22,1.4090909090268595
2024-01-18,46,93.72578,424631.52999999997,68.93319,1.4985476086956522,0.06521739130434782,18,28,0.6428571428341837
